"productkey","productalternatekey","productsubcategorykey","englishproductname","color","safetystocklevel","reorderpoint","size","daystomanufacture","productline","modelname","englishdescription","startdate","enddate","status"
16,"DT-2377",NULL,"Down Tube","NA",800,600,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
17,"EC-M092",NULL,"Mountain End Caps","NA",1000,750,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
18,"EC-R098",NULL,"Road End Caps","NA",1000,750,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
19,"EC-T209",NULL,"Touring End Caps","NA",1000,750,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
20,"FE-3760",NULL,"Fork End","NA",800,600,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
21,"FH-2981",NULL,"Freewheel","Silver",500,375,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
22,"FW-1000",NULL,"Flat Washer 1","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
23,"FW-1200",NULL,"Flat Washer 6","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
24,"FW-1400",NULL,"Flat Washer 2","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
25,"FW-3400",NULL,"Flat Washer 9","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
26,"FW-3800",NULL,"Flat Washer 4","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
27,"FW-5160",NULL,"Flat Washer 3","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
28,"FW-5800",NULL,"Flat Washer 8","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
29,"FW-7160",NULL,"Flat Washer 5","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
30,"FW-9160",NULL,"Flat Washer 7","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
31,"FC-3654",NULL,"Fork Crown","NA",800,600,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
32,"FC-3982",NULL,"Front Derailleur Cage","Silver",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
33,"FL-2301",NULL,"Front Derailleur Linkage","Silver",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
34,"GP-0982",NULL,"Guide Pulley","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
35,"GT-0820",NULL,"LL Grip Tape","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
36,"GT-1209",NULL,"ML Grip Tape","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
37,"GT-2908",NULL,"HL Grip Tape","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
38,"HJ-1213",NULL,"Thin-Jam Hex Nut 9","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
39,"HJ-1220",NULL,"Thin-Jam Hex Nut 10","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
40,"HJ-1420",NULL,"Thin-Jam Hex Nut 1","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
41,"HJ-1428",NULL,"Thin-Jam Hex Nut 2","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
42,"HJ-3410",NULL,"Thin-Jam Hex Nut 15","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
43,"HJ-3416",NULL,"Thin-Jam Hex Nut 16","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
44,"HJ-3816",NULL,"Thin-Jam Hex Nut 5","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
45,"HJ-3824",NULL,"Thin-Jam Hex Nut 6","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
46,"HJ-5161",NULL,"Thin-Jam Hex Nut 3","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
47,"HJ-5162",NULL,"Thin-Jam Hex Nut 4","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
48,"HJ-5811",NULL,"Thin-Jam Hex Nut 13","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
49,"HJ-5818",NULL,"Thin-Jam Hex Nut 14","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
50,"HJ-7161",NULL,"Thin-Jam Hex Nut 7","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
51,"HJ-7162",NULL,"Thin-Jam Hex Nut 8","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
52,"HJ-9080",NULL,"Thin-Jam Hex Nut 12","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
53,"HJ-9161",NULL,"Thin-Jam Hex Nut 11","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
54,"HN-1024",NULL,"Hex Nut 5","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
55,"HN-1032",NULL,"Hex Nut 6","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
56,"HN-1213",NULL,"Hex Nut 16","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
57,"HN-1220",NULL,"Hex Nut 17","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
58,"HN-1224",NULL,"Hex Nut 7","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
59,"HN-1420",NULL,"Hex Nut 8","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
60,"HN-1428",NULL,"Hex Nut 9","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
61,"HN-3410",NULL,"Hex Nut 22","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
62,"HN-3416",NULL,"Hex Nut 23","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
63,"HN-3816",NULL,"Hex Nut 12","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
64,"HN-3824",NULL,"Hex Nut 13","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
65,"HN-4402",NULL,"Hex Nut 1","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
66,"HN-5161",NULL,"Hex Nut 10","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
67,"HN-5162",NULL,"Hex Nut 11","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
68,"HN-5400",NULL,"Hex Nut 2","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
69,"HN-5811",NULL,"Hex Nut 20","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
70,"HN-5818",NULL,"Hex Nut 21","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
71,"HN-6320",NULL,"Hex Nut 3","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
72,"HN-7161",NULL,"Hex Nut 14","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
73,"HN-7162",NULL,"Hex Nut 15","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
74,"HN-8320",NULL,"Hex Nut 4","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
75,"HN-9161",NULL,"Hex Nut 18","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
76,"HN-9168",NULL,"Hex Nut 19","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
77,"HT-2981",NULL,"Handlebar Tube","NA",800,600,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
78,"HT-8019",NULL,"Head Tube","NA",800,600,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
79,"HU-6280",NULL,"LL Hub","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
80,"HU-8998",NULL,"HL Hub","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
81,"KW-4091",NULL,"Keyed Washer","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
82,"LE-1000",NULL,"External Lock Washer 3","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
83,"LE-1200",NULL,"External Lock Washer 4","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
84,"LE-1201",NULL,"External Lock Washer 9","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
85,"LE-1400",NULL,"External Lock Washer 5","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
86,"LE-3800",NULL,"External Lock Washer 7","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
87,"LE-5160",NULL,"External Lock Washer 6","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
88,"LE-6000",NULL,"External Lock Washer 1","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
89,"LE-7160",NULL,"External Lock Washer 8","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
90,"LE-8000",NULL,"External Lock Washer 2","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
91,"LI-1000",NULL,"Internal Lock Washer 3","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
92,"LI-1200",NULL,"Internal Lock Washer 4","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
93,"LI-1201",NULL,"Internal Lock Washer 9","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
94,"LI-1400",NULL,"Internal Lock Washer 5","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
95,"LI-3800",NULL,"Internal Lock Washer 7","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
96,"LI-5160",NULL,"Internal Lock Washer 6","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
97,"LI-5800",NULL,"Internal Lock Washer 10","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
98,"LI-6000",NULL,"Internal Lock Washer 1","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
99,"LI-7160",NULL,"Internal Lock Washer 8","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
100,"LI-8000",NULL,"Internal Lock Washer 2","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
101,"LJ-1213",NULL,"Thin-Jam Lock Nut 9","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
102,"LJ-1220",NULL,"Thin-Jam Lock Nut 10","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
103,"LJ-1420",NULL,"Thin-Jam Lock Nut 1","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
104,"LJ-1428",NULL,"Thin-Jam Lock Nut 2","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
105,"LJ-3410",NULL,"Thin-Jam Lock Nut 15","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
106,"LJ-3416",NULL,"Thin-Jam Lock Nut 16","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
107,"LJ-3816",NULL,"Thin-Jam Lock Nut 5","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
108,"LJ-3824",NULL,"Thin-Jam Lock Nut 6","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
109,"LJ-5161",NULL,"Thin-Jam Lock Nut 3","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
110,"LJ-5162",NULL,"Thin-Jam Lock Nut 4","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
111,"LJ-5811",NULL,"Thin-Jam Lock Nut 13","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
112,"LJ-5818",NULL,"Thin-Jam Lock Nut 14","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
113,"LJ-7161",NULL,"Thin-Jam Lock Nut 7","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
114,"LJ-7162",NULL,"Thin-Jam Lock Nut 8","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
115,"LJ-9080",NULL,"Thin-Jam Lock Nut 12","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
116,"LJ-9161",NULL,"Thin-Jam Lock Nut 11","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
117,"LN-1024",NULL,"Lock Nut 5","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
118,"LN-1032",NULL,"Lock Nut 6","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
119,"LN-1213",NULL,"Lock Nut 16","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
120,"LN-1220",NULL,"Lock Nut 17","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
121,"LN-1224",NULL,"Lock Nut 7","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
122,"LN-1420",NULL,"Lock Nut 8","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
123,"LN-1428",NULL,"Lock Nut 9","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
124,"LN-3410",NULL,"Lock Nut 22","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
125,"LN-3416",NULL,"Lock Nut 23","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
126,"LN-3816",NULL,"Lock Nut 12","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
127,"LN-3824",NULL,"Lock Nut 13","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
128,"LN-4400",NULL,"Lock Nut 1","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
129,"LN-5161",NULL,"Lock Nut 10","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
130,"LN-5162",NULL,"Lock Nut 11","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
131,"LN-5400",NULL,"Lock Nut 2","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
132,"LN-5811",NULL,"Lock Nut 20","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
133,"LN-5818",NULL,"Lock Nut 21","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
134,"LN-6320",NULL,"Lock Nut 3","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
135,"LN-7161",NULL,"Lock Nut 14","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
136,"LN-7162",NULL,"Lock Nut 15","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
137,"LN-8320",NULL,"Lock Nut 4","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
138,"LN-9080",NULL,"Lock Nut 19","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
139,"LN-9161",NULL,"Lock Nut 18","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
140,"LR-2398",NULL,"Lock Ring","Silver",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
141,"LR-8520",NULL,"Lower Head Race","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
142,"LW-1000",NULL,"Lock Washer 4","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
143,"LW-1200",NULL,"Lock Washer 5","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
144,"LW-1201",NULL,"Lock Washer 10","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
145,"LW-1400",NULL,"Lock Washer 6","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
146,"LW-3400",NULL,"Lock Washer 13","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
147,"LW-3800",NULL,"Lock Washer 8","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
148,"LW-4000",NULL,"Lock Washer 1","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
149,"LW-5160",NULL,"Lock Washer 7","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
150,"LW-5800",NULL,"Lock Washer 12","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
151,"LW-6000",NULL,"Lock Washer 2","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
152,"LW-7160",NULL,"Lock Washer 9","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
153,"LW-8000",NULL,"Lock Washer 3","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
154,"LW-9160",NULL,"Lock Washer 11","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
155,"MA-7075",NULL,"Metal Angle","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
156,"MB-2024",NULL,"Metal Bar 1","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
157,"MB-6061",NULL,"Metal Bar 2","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
158,"MP-2066",NULL,"Metal Plate 2","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
159,"MP-2503",NULL,"Metal Plate 1","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
160,"MP-4960",NULL,"Metal Plate 3","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
161,"MS-0253",NULL,"Metal Sheet 2","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
162,"MS-1256",NULL,"Metal Sheet 3","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
163,"MS-1981",NULL,"Metal Sheet 7","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
164,"MS-2259",NULL,"Metal Sheet 4","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
165,"MS-2341",NULL,"Metal Sheet 5","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
166,"MS-2348",NULL,"Metal Sheet 6","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
167,"MS-6061",NULL,"Metal Sheet 1","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
168,"MT-1000",NULL,"Metal Tread Plate","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
169,"NI-4127",NULL,"LL Nipple","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
170,"NI-9522",NULL,"HL Nipple","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
171,"PA-187B",NULL,"Paint - Black","NA",60,45,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
172,"PA-361R",NULL,"Paint - Red","NA",60,45,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
173,"PA-529S",NULL,"Paint - Silver","NA",60,45,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
174,"PA-632U",NULL,"Paint - Blue","NA",60,45,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
175,"PA-823Y",NULL,"Paint - Yellow","NA",60,45,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
176,"PB-6109",NULL,"Pinch Bolt","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
177,"RA-2345",NULL,"Cup-Shaped Race","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
178,"RA-7490",NULL,"Cone-Shaped Race","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
179,"RF-9198",NULL,"Reflector","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
180,"RM-M464",NULL,"LL Mountain Rim","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
181,"RM-M692",NULL,"ML Mountain Rim","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
182,"RM-M823",NULL,"HL Mountain Rim","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
183,"RM-R436",NULL,"LL Road Rim","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
184,"RM-R600",NULL,"ML Road Rim","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
185,"RM-R800",NULL,"HL Road Rim","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
186,"RM-T801",NULL,"Touring Rim","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
187,"SA-M198",NULL,"LL Mountain Seat Assembly","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
188,"SA-M237",NULL,"ML Mountain Seat Assembly","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
189,"SA-M687",NULL,"HL Mountain Seat Assembly","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
190,"SA-R127",NULL,"LL Road Seat Assembly","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
191,"SA-R430",NULL,"ML Road Seat Assembly","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
192,"SA-R522",NULL,"HL Road Seat Assembly","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
193,"SA-T467",NULL,"LL Touring Seat Assembly","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
194,"SA-T612",NULL,"ML Touring Seat Assembly","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
195,"SA-T872",NULL,"HL Touring Seat Assembly","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
196,"SD-2342",NULL,"LL Spindle/Axle","NA",500,375,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
197,"SD-9872",NULL,"HL Spindle/Axle","NA",500,375,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
198,"SH-4562",NULL,"LL Shell","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
199,"SH-9312",NULL,"HL Shell","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
200,"SK-9283",NULL,"Spokes","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
201,"SL-0931",NULL,"Seat Lug","NA",1000,750,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
202,"SM-9087",NULL,"Stem","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
203,"SP-2981",NULL,"Seat Post","NA",500,375,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
204,"SR-2098",NULL,"Steerer","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
205,"SS-2985",NULL,"Seat Stays","NA",800,600,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
206,"ST-9828",NULL,"Seat Tube","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
207,"TO-2301",NULL,"Top Tube","NA",500,375,NULL,1,NULL,NULL,NULL,"00:00.0",NULL,"Current"
208,"TP-0923",NULL,"Tension Pulley","NA",800,600,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
209,"RC-0291",NULL,"Rear Derailleur Cage","Silver",500,375,NULL,0,NULL,NULL,NULL,"00:00.0",NULL,"Current"
